CLAVE,SITIO,CUENCA,CUERPO_DE_AGUA,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,TIPO,SUBTIPO,LONGITUD,LATITUD,ANIO,DBO_mg/L,DQO_mg/L,SST_mg/L,SDT_mg/L,CALIDAD_DBO,CALIDAD_DQO,CALIDAD_SST,CALIDAD_SDT,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_SDT,SEMAFORO,GRUPO
DLBAJ172,"LA BOCANA SEG18, 2 ISA10B",COSTERO,ESTERO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,ESTERO,-113.70728,26.7894,2016,ND,ND,7.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ173,"LA BOCANA SEG18, 1 ISA10B",PUNTA EUGENIA,ESTERO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,ESTERO,-113.65367,26.76086,2016,ND,ND,16,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ174,SAN JUANICO,COSTERO,OCEANO PACIFICO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,COSTERO,LAGUNA,-112.47136,26.25615,2016,ND,ND,37,ND,ND,ND,Buena calidad,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ175,LAGUNA OJO DE LIEBRE 1,COSTERO,LAGUNA OJO DE LIEBRE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-114.19292,27.75162,2016,ND,ND,12.335,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ176,LAGUNA OJO DE LIEBRE 5,COSTERO,LAGUNA OJO DE LIEBRE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-114.283,27.76011,2016,ND,ND,10.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ177,LAGUNA OJO DE LIEBRE 3,COSTERO,LAGUNA OJO DE LIEBRE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-114.10713,27.6475,2016,ND,ND,13.17,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ178,LAGUNA OJO DE LIEBRE 6,COSTERO,LAGUNA OJO DE LIEBRE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-114.141409,27.681672,2016,ND,ND,11.5,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ179,LAGUNA OJO DE LIEBRE 7,COSTERO,LAGUNA OJO DE LIEBRE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-114.2036,27.8463,2016,ND,ND,11.415,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ180,LAGUNA OJO DE LIEBRE 2 SEG16 ISA10B (DESEMBOCADURA),COSTERO,TRANSICION LAGUNA - MAR,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-114.27864,27.86918,2016,ND,ND,7.085,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ181,LAGUNA OJO DE LIEBRE 4,COSTERO,LAGUNA OJO DE LIEBRE,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,COSTERO,LAGUNA,-113.97281,27.74018,2016,ND,ND,14.67,ND,ND,ND,Excelente,ND,ND,ND,SI,ND,Verde,COSTERO
DLBAJ190,HUMEDAL LA SIERRA DE GUADALUPE (VERTIENTE OCCIDENTAL) 1,SAN IGNACIO,HUMEDAL LA SIERRA DE GUADALUPE (VERTIENTE OCCIDENTAL) 1,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,LOTICO (HUMEDAL),ARROYO,-112.50886,26.38214,2016,0.5,21.05,2.5,ND,Excelente,Aceptable,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ191,LA RIBERA,SANTIAGO,ARROYO LAS CUEVAS,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,LOS CABOS,LOTICO,ARROYO,-109.60983,23.61997,2016,0.5,2.5,13.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ192,RIO SAN IGNACIO - REPRESO,SAN IGNACIO,RIO SAN IGNACIO,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,MULEGE,LOTICO,RIO,-112.89735,27.29764,2016,0.5,2.5,5.835,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ193,RIO LA PURISIMA 1,LA PURISIMA,RIO LA PURISIMA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,LOTICO,RIO,-112.00876,26.2298,2016,0.5,2.5,2.5,ND,Excelente,Excelente,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
DLBAJ194,RIO LA PURISIMA 2,LA PURISIMA,RIO LA PURISIMA,PENINSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,COMONDU,LOTICO,RIO,-112.12748,26.15856,2016,0.5,26.085,2.5,ND,Excelente,Aceptable,Excelente,ND,SI,SI,SI,ND,Verde,LOTICO
